TitleBroadcast;max_licenseStartDate;max_licenseEndDate;I_Live;I_adult;I_kids;;Walging;Angst;Blij;Verdrietig;Boos
Pak Van Mijn Hart;2016-07-23 00:00:00.000;2020-12-31 00:00:00.000;1;0;0;;1;0;2;2;1
Parker;2017-02-18 00:00:00.000;2018-02-17 00:00:00.000;1;0;0;;1;3;3;3;2
Perfume: the Story of a Murder;2016-12-25 00:00:00.000;2017-12-24 00:00:00.000;1;0;0;;2;3;3;2;1
Playing for Keeps;2015-07-11 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;0;1;3;1;0
Rundskop;2015-06-02 00:00:00.000;2017-06-30 00:00:00.000;1;0;0;;3;4;3;4;2
Rush;2015-12-15 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;0;3;4;3;2
Safe Haven;2016-09-12 00:00:00.000;2017-09-30 00:00:00.000;1;0;0;;2;0;1;0;1
Scary Movie;2016-11-29 00:00:00.000;2017-11-28 00:00:00.000;1;0;0;;3;2;2;0;1
Schone Handen;2017-03-04 00:00:00.000;2017-11-28 00:00:00.000;1;0;0;;1;3;2;2;2
Seven Psychopaths;2015-12-31 00:00:00.000;2017-07-31 00:00:00.000;1;0;0;;1;2;3;2;1
Shame;2016-11-12 00:00:00.000;2018-05-11 00:00:00.000;1;0;0;;5;3;0;3;4
Short Term 12;2016-02-06 00:00:00.000;2018-02-01 00:00:00.000;1;0;0;;2;4;3;5;3
Side Effects;2015-11-26 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;3;2;3;2
Sin City;2017-03-04 00:00:00.000;2018-03-03 00:00:00.000;1;0;0;;2;3;3;1;1
Slumdog Millionaire;2016-11-20 00:00:00.000;2018-05-19 00:00:00.000;1;0;0;;1;3;5;3;2
Snitch;2015-11-06 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;2;3;2;1
Soof;2016-12-01 00:00:00.000;2017-06-01 00:00:00.000;1;0;0;;0;0;5;2;0
Stand Up Guys;2016-01-23 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;2;3;2;2
Süskind;2013-12-05 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;2;4;1;4;3
Taken;2017-02-25 00:00:00.000;2018-02-24 00:00:00.000;1;0;0;;1;4;1;2;3
The Age Of Adaline;2017-01-01 00:00:00.000;2017-06-30 00:00:00.000;1;0;0;;0;2;3;3;1
The Book of Eli;2013-06-01 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;0;4;2;2;1
The Butler;2016-10-08 00:00:00.000;2017-10-07 00:00:00.000;1;0;0;;0;2;3;2;1
The Double;2015-01-16 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;0;2;2;1;2
The Expendables;2013-08-01 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;3;4;1;0
The Expendables 2;2016-04-29 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;1;3;4;1;0
The Family Man;2016-11-27 00:00:00.000;2017-11-26 00:00:00.000;1;0;0;;0;1;4;1;0
The Godfather;2017-02-24 00:00:00.000;2017-05-23 00:00:00.000;1;0;0;;2;4;4;3;3
The Grey;2015-12-17 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;4;2;2;2
The Hunger Games;2016-12-09 00:00:00.000;2017-12-08 00:00:00.000;1;0;0;;2;3;3;3;2
The Ides of March;2013-10-28 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;2;4;3;3;3
The King's Speech;2016-12-01 00:00:00.000;2018-02-05 00:00:00.000;1;0;0;;1;3;3;3;3
The Next Three Days;2017-03-12 00:00:00.000;2018-03-11 00:00:00.000;1;0;0;;1;4;3;4;3
The Perks of Being a Wallflower;2016-05-05 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;3;3;3;5;5
The Place Beyond the Pines;2015-11-13 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;1;3;3;3;2
The Rainmaker;2017-03-05 00:00:00.000;2017-06-04 00:00:00.000;1;0;0;;1;4;3;3;2
The Rebound;2017-01-29 00:00:00.000;2018-01-28 00:00:00.000;1;0;0;;0;0;4;1;0
The Switch;2016-05-19 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;0;3;0;1
The Wolf of Wall Street;2016-03-30 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;4;3;4;4;5
The Words;2015-06-16 00:00:00.000;2017-12-31 00:00:00.000;1;0;0;;2;1;3;4;3
Tirza;2013-08-01 00:00:00.000;2017-10-01 00:00:00.000;1;0;0;;2;4;2;4;3
Vicky Cristina Barcelona;2016-10-24 00:00:00.000;2018-04-23 00:00:00.000;1;0;0;;1;2;5;2;1
Zero Dark Thirty;2015-08-06 00:00:00.000;2017-09-30 00:00:00.000;1;0;0;;1;5;2;2;2
